ArticleId,SiteId,Date,Quantity,Price,CostPrice
170936,4,9/05/2019,7,39,30.15
171979,7,18/01/2019,4,43.5,28.11
200838,5,16/05/2019,10,95,159.49
176139,7,21/12/2018,5,199,147.97
172551,5,11/04/2019,1,86.7,80.76
167108,8,10/04/2019,1,26.9,18.62
174022,8,8/11/2018,4,249,191.9
194516,5,3/11/2018,2,45.6,27.19
176139,4,17/02/2019,-1,199,142
170295,8,30/03/2019,4,36.75,15.78
199219,5,20/07/2019,8,89,78.77
170295,7,3/06/2019,7,26,16.14
172551,8,4/03/2019,4,145.35,81.21
170069,5,4/01/2019,1,59.9,45.38
167108,6,10/01/2019,7,27.9,18.57
176139,7,17/01/2019,4,199,142
169281,4,20/01/2019,1,21.9,16.09
176139,8,9/04/2019,1,197,142
170936,4,11/01/2019,15,39,28.05
170295,6,14/10/2018,7,24.5,16.12
194516,4,15/07/2019,3,43.8,27.44
165954,5,5/09/2018,1,11.3,7.06
170936,8,27/11/2018,19,39,30.06
169281,7,9/01/2019,18,21.9,16.1
200838,4,20/09/2018,2,104,84.87
170936,4,9/12/2018,1,39,30.08
174022,5,15/02/2019,-16,239,196.9
194516,8,19/11/2018,1,38.7,27.41
170069,8,16/11/2018,1,59.9,44.04
194516,6,23/05/2019,5,43.8,27.44
172671,6,17/08/2018,5,19.9,10.05
172551,7,20/04/2019,2,93.5,81.38
172551,6,27/08/2018,4,90.5,82.13
171979,7,30/07/2019,3,50.4,28.95
199219,4,9/02/2019,-6,89,78.02
172671,5,25/07/2019,1,19.9,11.06
176139,8,29/09/2018,8,214,152.67
170295,4,12/02/2019,-14,24.5,15.78
199219,6,18/11/2018,23,83.9,78.32
174022,4,4/02/2019,-4,259,194.49
170936,4,6/09/2018,12,39,30.06
167108,7,11/05/2019,4,26.9,18.62
172551,8,9/11/2018,10,93.9,82.42
194516,5,10/12/2018,4,46.9,27.71
170295,7,23/11/2018,1,24.5,16.05
172671,4,11/07/2019,1,19.9,10.98
174022,4,11/12/2018,5,229,189.51
200838,4,30/10/2018,9,95,85.53
170069,6,24/11/2018,13,59.9,44.11
165954,6,2/07/2019,8,8.7,5.83
170936,4,16/05/2019,7,39,56.38
200838,7,24/02/2019,1,95,81.29
165954,4,8/01/2019,4,8.7,5.87
194516,9,26/11/2018,11,40.64,27.73
167108,8,18/01/2019,3,27.9,18.57
169281,4,22/12/2018,3,21.9,15.42
174022,5,9/07/2019,2,239,201.02
199219,4,28/07/2018,22,87.9,77.85
170069,5,18/07/2018,2,62.9,44.93
167108,8,15/04/2019,1,26.9,18.62
170295,6,18/08/2018,11,29.9,18.88
194516,6,23/10/2018,7,34.5,27.19
172551,4,18/08/2018,13,98.9,80.74
170295,5,14/08/2018,6,29.9,18.88
176139,7,20/07/2018,5,194.24,150.99
176139,8,16/04/2019,3,197,142
165811,8,27/07/2019,10,21.9,15.77
172551,4,13/01/2019,9,90.5,82.51
167108,8,3/01/2019,7,27.9,18.57
194516,7,26/07/2019,2,43.8,27.44
200838,8,28/02/2019,6,95,81.7
165811,5,1/09/2018,10,20.9,15.72
170936,4,18/08/2018,2,39,30.05
200838,6,16/08/2018,14,94.9,85.26
165811,5,7/11/2018,4,21.9,15.37
174022,6,25/02/2019,5,266,191.07
200838,8,23/02/2019,18,95,81.7
165811,7,30/05/2019,10,21.9,15.84
174022,5,28/01/2019,1,259,187.06
174022,7,30/03/2019,2,372.4,194.21
172551,5,24/10/2018,12,90.5,82.42
199219,7,9/03/2019,15,124.6,76.42
167108,7,24/07/2018,6,24.9,18.52
199219,8,31/08/2018,12,87.9,77.08
171979,8,12/02/2019,-1,46.3,28.7
170295,7,11/12/2018,15,24.5,15.52
165811,8,22/05/2019,5,21.9,15.84
174022,4,24/11/2018,8,259,189.83
170936,5,6/06/2019,4,39,30.16
167108,5,4/11/2018,4,24.9,18.7
170936,4,18/07/2018,8,39,30.05
172551,7,5/06/2019,8,92,83.12
172671,8,19/02/2019,1,19.9,10.66
170295,4,30/06/2019,12,26,17.64
174022,6,3/06/2019,8,239,200.14
167108,5,23/09/2018,1,38.9,19.86
167108,4,23/07/2018,11,24.9,18.57
169281,6,12/11/2018,3,21.9,15.44
194516,7,16/10/2018,3,45.6,27.22
199219,4,10/11/2018,11,89,78.3
171979,6,22/02/2019,4,43.5,28.38
167108,4,29/03/2019,4,27.9,18.56
199219,7,10/10/2018,1,89,77.25
172551,7,27/06/2019,5,86.7,80.5
170295,7,8/11/2018,2,24.5,16.05
176139,4,5/06/2019,1,197,141.85
194516,4,22/06/2019,1,43.8,27.44
170936,8,2/04/2019,2,39,30.13
165811,6,3/03/2019,11,21.9,15.75
